HMN,Horace Mann Educators Corp.,NYFIN
IRC,Inland Real Estate Corp.,NYFIN
AAT,American Assets Trust Inc.,NYFIN
NFP,National Financial Partners Corp.,NYFIN
WAL,Western Alliance Bancorp.,NYFIN
GDOT,Green Dot Corp. Cl A,NYFIN
CUZ,Cousins Properties Inc.,NYFIN
AEC,Associated Estates Realty Corp.,NYFIN
FCF,First Commonwealth Financial Corp. (Pennsylvania),NYFIN
NCT,Newcastle Investment Corp.,NYFIN
AHT,Ashford Hospitality Trust Inc.,NYFIN
FOR,Forestar Group Inc.,NYFIN
GZT,Gazit-Globe Ltd.,NYFIN
CHSP,Chesapeake Lodging Trust,NYFIN
CLNY,Colony Financial Inc.,NYFIN
BLX,Banco Latinoamericano de Comercio Exterior S.A. Cl E,NYFIN
HF,HFF Inc. Cl A,NYFIN
SFI,iStar Financial Inc.,NYFIN
AEA,Advance America Cash Advance Centers Inc.,NYFIN
MIG,Meadowbrook Insurance Group Inc.,NYFIN
NRF,Northstar Realty Finance Corp.,NYFIN
OFG,Oriental Financial Group Inc.,NYFIN
PMT,PennyMac Mortgage Investment Trust,NYFIN
DX,Dynex Capital Inc.,NYFIN
FCH,Felcor Lodging Trust Inc.,NYFIN
KBW,KBW Inc.,NYFIN
GTY,Getty Realty Corp.,NYFIN
ITG,Investment Technology Group Inc.,NYFIN
RDN,Radian Group Inc.,NYFIN
KW,Kennedy-Wilson Holdings Inc.,NYFIN
PJC,Piper Jaffray Cos.,NYFIN
UHT,Universal Health Realty Income Trust,NYFIN
FFG,FBL Financial Group Inc.,NYFIN
CIA,Citizens Inc. Cl A,NYFIN
RPT,Ramco-Gershenson Properties Trust,NYFIN
RSO,Resource Capital Corp.,NYFIN
COR,CoreSite Realty Corp.,NYFIN
TRC,Tejon Ranch Co.,NYFIN
FSR,Flagstone Reinsurance Holdings Ltd.,NYFIN
DUF,Duff & Phelps Corp. Cl A,NYFIN
UBA,Urstadt Biddle Properties Inc. Cl A,NYFIN
EXL,Excel Trust Inc.,NYFIN
HPP,Hudson Pacific Properties Inc.,NYFIN
EJ,E-House (China) Holdings Ltd.,NYFIN
OB,OneBeacon Insurance Group Ltd. Cl A,NYFIN
HTH,Hilltop Holdings Inc.,NYFIN
MNR,Monmouth Real Estate Investment Corp. Cl A,NYFIN
PBNY,Provident New York Bancorp,NYFIN
SFE,Safeguard Scientifics Inc.,NYFIN
CCG,Campus Crest Communities Inc.,NYFIN
KRG,Kite Realty Group Trust,NYFIN
ARI,Apollo Commercial Real Estate Finance Inc.,NYFIN
HVB,Hudson Valley Holding Corp.,NYFIN
BFS,Saul Centers Inc.,NYFIN
FUR,Winthrop Realty Trust,NYFIN
STL,Sterling Bancorp,NYFIN
LSE,CapLease Inc.,NYFIN
GFIG,GFI Group Inc.,NYFIN
INN,Summit Hotel Properties Inc.,NYFIN
WHG,Westwood Holdings Group Inc.,NYFIN
CDR,Cedar Realty Trust Inc.,NYFIN
STC,Stewart Information Services Corp.,NYFIN
ADC,Agree Realty Corp.,NYFIN
PNX,Phoenix Cos. Inc.,NYFIN
BFR,BBVA Banco Frances S.A.,NYFIN
PKY,Parkway Properties Inc.,NYFIN
RAS,RAIT Financial Trust,NYFIN
MITT,AG Mortgage Investment Trust Inc.,NYFIN
CSA,Cogdell Spencer Inc.,NYFIN
IRS,IRSA-Inversiones y Representaciones S.A. GDS,NYFIN
OLP,One Liberty Properties Inc.,NYFIN
RSE,Rouse Properties Inc.,NYFIN
GBL,GAMCO Investors Inc. Cl A,NYFIN
ASI,American Safety Insurance Holdings Ltd.,NYFIN
SWS,SWS Group Inc.,NYFIN
DRL,Doral Financial Corp.,NYFIN
MGI,MoneyGram International Inc.,NYFIN
TRNO,Terreno Realty Corp.,NYFIN
OPY,Oppenheimer Holdings Inc.,NYFIN
SBX,SeaBright Holdings Inc.,NYFIN
