Date,Open,High,Low,Close,Volume,Adj Close
2008-10-14,56.28,58.70,53.26,54.40,34963700,47.35
2008-10-13,59.33,62.24,58.55,61.77,13334500,53.76
2008-10-10,57.68,62.78,53.21,57.80,21549700,50.30
2008-10-09,63.76,64.45,59.51,59.52,15361400,51.80
2008-10-08,64.35,65.78,62.77,63.61,12963300,55.36
2008-10-07,67.25,67.85,64.69,65.12,12900400,56.67
2008-10-06,67.62,69.27,64.75,66.64,15854700,58.00
2008-10-03,71.57,71.60,68.66,69.00,10360800,60.05
2008-10-02,71.18,72.24,70.77,70.91,10862600,61.71
2008-10-01,70.66,72.17,70.66,71.64,7986600,62.35
2008-09-30,69.88,71.69,69.88,71.27,10903100,62.03
2008-09-29,70.83,72.28,68.81,69.66,11650400,60.63
2008-09-26,70.30,72.13,70.30,71.71,6489500,62.41
2008-09-25,70.41,71.99,70.29,71.30,6851600,62.05
2008-09-24,70.36,71.12,69.51,70.10,9390100,61.01
2008-09-23,71.14,72.33,70.57,70.75,7294600,61.57
2008-09-22,72.92,73.19,70.81,71.08,7445600,61.86
2008-09-19,73.63,75.25,72.32,73.19,14671500,63.70
2008-09-18,71.98,74.27,71.53,73.23,13124400,63.73
2008-09-17,72.63,73.50,71.53,71.68,13533800,62.38
2008-09-16,71.41,73.20,71.41,72.98,11410800,63.52
2008-09-15,72.08,73.56,72.08,72.35,9174500,62.97
2008-09-12,72.22,73.20,72.06,73.15,6930500,63.66
2008-09-11,71.53,72.69,71.03,72.62,8129000,63.20
2008-09-10,71.26,71.99,70.42,71.83,10297000,62.51
2008-09-09,69.97,71.38,69.97,71.00,11337400,61.79
2008-09-08,69.22,70.53,69.22,70.34,6948600,61.22
2008-09-05,68.14,69.15,68.14,68.92,6165000,59.98
2008-09-04,68.99,69.83,68.30,68.39,5859800,59.52
2008-09-03,68.95,69.30,68.48,69.19,5213300,60.22
2008-09-02,68.89,70.55,68.86,69.46,6397600,60.08
2008-08-29,69.18,69.48,68.43,68.48,4206100,59.23
2008-08-28,69.37,69.46,68.88,69.19,3326100,59.85
2008-08-27,68.58,69.21,68.26,69.20,2960100,59.86
2008-08-26,69.15,69.31,68.46,68.70,4386200,59.42
2008-08-25,69.60,69.90,68.75,69.05,3999000,59.73
2008-08-22,69.56,70.20,69.39,69.90,3392300,60.46
2008-08-21,69.51,69.66,68.65,69.39,5647400,60.02
2008-08-20,70.37,70.37,69.40,69.85,4082700,60.42
2008-08-19,69.40,70.49,69.23,70.10,6164700,60.64
2008-08-18,70.46,70.65,69.55,69.81,4405300,60.38
2008-08-15,70.20,70.43,69.77,70.20,5637500,60.72
2008-08-14,69.77,70.83,69.13,69.94,5605200,60.50
2008-08-13,69.35,70.13,69.21,69.74,6085800,60.32
2008-08-12,69.40,69.85,68.95,69.62,5342300,60.22
2008-08-11,69.35,69.48,68.76,69.27,6004500,59.92
2008-08-08,67.94,69.46,67.85,69.35,8564700,59.99
2008-08-07,68.45,68.50,67.80,67.95,5769500,58.78
2008-08-06,68.46,68.54,67.96,68.54,5151400,59.29
2008-08-05,67.98,68.79,67.57,68.52,12080000,59.27
2008-08-04,66.71,67.95,66.63,67.67,9717000,58.53
2008-08-01,66.82,67.40,66.36,66.63,7640100,57.63
2008-07-31,66.80,67.43,66.42,66.56,7317600,57.57
2008-07-30,67.25,67.63,66.57,66.91,7876800,57.88
2008-07-29,66.75,67.25,66.54,66.98,8205700,57.94
2008-07-28,67.21,67.30,66.29,66.71,4495300,57.70
2008-07-25,67.75,67.94,66.73,67.22,9276000,58.14
2008-07-24,67.85,68.02,66.94,67.40,5342500,58.30
2008-07-23,66.49,67.86,65.51,67.72,9255900,58.58
2008-07-22,64.62,66.36,64.12,66.19,8881400,57.25
2008-07-21,65.80,65.80,64.26,64.45,5265100,55.75
2008-07-18,65.45,65.74,64.81,65.41,7075900,56.58
2008-07-17,66.49,66.49,64.35,65.53,10344500,56.68
2008-07-16,65.77,66.13,65.05,66.09,5708600,57.17
2008-07-15,64.36,65.85,64.13,65.57,8423500,56.72
2008-07-14,65.15,65.52,64.31,64.91,6182300,56.15
2008-07-11,65.01,65.35,63.94,64.66,9117700,55.93
2008-07-10,65.50,65.74,64.77,65.59,6384100,56.73
2008-07-09,65.99,66.16,65.09,65.35,6353300,56.53
2008-07-08,66.41,66.80,65.59,65.83,9145000,56.94
2008-07-07,66.72,67.00,66.09,66.62,7867700,57.63
2008-07-03,65.71,66.91,65.71,66.77,5571800,57.76
2008-07-02,64.51,65.99,64.45,65.76,9356000,56.88
2008-07-01,63.28,64.53,63.28,64.40,9900000,55.71
2008-06-30,64.32,64.77,63.40,63.59,9260200,55.00
2008-06-27,64.96,65.37,63.83,63.93,9890300,55.30
2008-06-26,64.68,65.67,64.68,64.77,8014500,56.03
2008-06-25,64.13,65.92,64.13,65.52,8838600,56.67
2008-06-24,64.52,64.78,63.31,64.02,6919200,55.38
2008-06-23,65.23,65.31,64.37,64.63,5723600,55.90
2008-06-20,65.75,66.11,64.91,65.08,10181400,56.29
2008-06-19,65.13,66.23,64.95,65.89,6146200,56.99
2008-06-18,65.80,65.83,65.02,65.06,8905200,56.28
2008-06-17,66.25,66.57,65.54,65.87,7633100,56.98
2008-06-16,67.01,67.76,65.25,66.04,10057000,57.12
2008-06-13,67.96,68.20,66.73,67.54,8322000,58.42
2008-06-12,67.84,68.23,67.30,67.95,6566500,58.78
2008-06-11,67.35,68.05,67.22,67.49,7947600,58.38
2008-06-10,65.29,68.27,65.29,67.58,10358400,58.46
2008-06-09,65.92,65.92,64.69,65.37,9046500,56.54
2008-06-06,66.87,67.04,65.45,65.52,9734200,56.67
2008-06-05,66.93,67.35,66.47,67.29,5918000,58.21
2008-06-04,66.73,67.05,66.42,66.67,5829400,57.67
2008-06-03,67.75,67.75,66.73,67.05,6995200,57.63
2008-06-02,68.11,68.22,67.07,67.55,7186500,58.06
2008-05-30,68.90,68.90,68.03,68.30,5569800,58.70
2008-05-29,67.94,69.04,67.93,68.83,4940100,59.16
2008-05-28,69.00,69.00,67.80,67.93,6476300,58.39
2008-05-27,68.16,69.10,68.05,69.01,6181400,59.31
2008-05-23,68.05,68.38,67.88,68.26,5411500,58.67
2008-05-22,67.50,68.67,67.50,68.38,6295400,58.77
2008-05-21,67.26,68.21,67.16,67.27,6132400,57.82
2008-05-20,67.57,67.96,67.22,67.46,6275400,57.98
2008-05-19,68.08,68.12,67.50,68.03,5414300,58.47
2008-05-16,68.32,68.44,67.76,67.87,7180400,58.33
2008-05-15,67.35,68.34,67.12,68.07,6554900,58.51
2008-05-14,67.75,67.98,67.04,67.10,6229800,57.67
2008-05-13,67.39,67.68,66.85,67.25,5474000,57.80
2008-05-12,67.55,67.71,66.96,67.35,5120000,57.89
2008-05-09,67.76,67.91,66.81,67.51,5910300,58.03
2008-05-08,68.40,68.42,67.24,67.54,6329100,58.05
2008-05-07,68.75,69.12,67.84,68.01,6699700,58.46
2008-05-06,68.41,68.72,67.87,68.57,5332800,58.94
2008-05-05,69.29,69.72,68.32,68.57,5009700,58.94
2008-05-02,69.02,69.82,68.77,69.10,7120600,59.39
